step,baseline_running_acc,tda_running_acc,freetta_running_acc
1,0.0,0.0,0.0
2,0.5,0.0,0.5
3,0.6666666666666666,0.3333333333333333,0.6666666666666666
4,0.5,0.25,0.5
5,0.6,0.2,0.6
6,0.6666666666666666,0.16666666666666666,0.6666666666666666
7,0.7142857142857143,0.14285714285714285,0.7142857142857143
8,0.625,0.125,0.625
9,0.5555555555555556,0.1111111111111111,0.5555555555555556
10,0.6,0.1,0.6
11,0.5454545454545454,0.09090909090909091,0.5454545454545454
12,0.5,0.08333333333333333,0.5
13,0.5384615384615384,0.07692307692307693,0.5384615384615384
14,0.5,0.07142857142857142,0.5
15,0.5333333333333333,0.06666666666666667,0.5333333333333333
16,0.5,0.0625,0.5
17,0.5294117647058824,0.058823529411764705,0.5294117647058824
18,0.5,0.05555555555555555,0.5
19,0.47368421052631576,0.05263157894736842,0.47368421052631576
20,0.45,0.05,0.45
21,0.47619047619047616,0.047619047619047616,0.47619047619047616
22,0.45454545454545453,0.045454545454545456,0.45454545454545453
23,0.4782608695652174,0.08695652173913043,0.4782608695652174
24,0.5,0.08333333333333333,0.5
25,0.52,0.08,0.52
26,0.5384615384615384,0.11538461538461539,0.5384615384615384
27,0.5185185185185185,0.1111111111111111,0.5185185185185185
28,0.5357142857142857,0.10714285714285714,0.5357142857142857
29,0.5172413793103449,0.10344827586206896,0.5172413793103449
30,0.5,0.1,0.5
