dataset,seed,tda_acc,freetta_acc,freetta_minus_tda
dtd,1,0.47127659574468084,0.4803191489361702,0.009042553191489389
dtd,2,0.475,0.47606382978723405,0.0010638297872340718
dtd,3,0.4797872340425532,0.47712765957446807,-0.002659574468085124
dtd,4,0.4728723404255319,0.4765957446808511,0.003723404255319196
dtd,5,0.47712765957446807,0.47819148936170214,0.0010638297872340718
caltech,1,0.9403651115618661,0.944421906693712,0.0040567951318458695
caltech,2,0.9407707910750507,0.9440162271805274,0.0032454361054766734
caltech,3,0.9440162271805274,0.9448275862068966,0.0008113590263691961
caltech,4,0.9427991886409737,0.9436105476673428,0.0008113590263690851
caltech,5,0.9427991886409737,0.9452332657200812,0.0024340770791074773
eurosat,1,0.6209876543209877,0.6155555555555555,-0.005432098765432158
eurosat,2,0.6320987654320988,0.6192592592592593,-0.012839506172839465
eurosat,3,0.6255555555555555,0.6214814814814815,-0.004074074074074008
eurosat,4,0.6217283950617284,0.6211111111111111,-0.0006172839506173311
eurosat,5,0.6292592592592593,0.6190123456790123,-0.010246913580246986
pets,1,0.8907059144180975,0.9016080675933497,0.010902153175252116
pets,2,0.8814390842191333,0.8997001907876806,0.018261106568547292
pets,3,0.890160806759335,0.9029708367402562,0.01281002998092129
pets,4,0.8893431452711911,0.899155083128918,0.009811937857726938
pets,5,0.8882529299536659,0.9013355137639684,0.013082583810302473
