dataset,phase,samples,clip_acc,tda_acc,freetta_acc,freetta_minus_tda
caltech,early,616,0.9886363636363636,0.9935064935064936,0.987012987012987,-0.006493506493506551
caltech,late,617,0.9497568881685575,0.9497568881685575,0.946515397082658,-0.0032414910858995505
caltech,middle,1232,0.9123376623376623,0.9131493506493507,0.9196428571428571,0.00649350649350644
dtd,early,470,0.5255319148936171,0.5255319148936171,0.5382978723404256,0.012765957446808529
dtd,late,470,0.502127659574468,0.5148936170212766,0.5148936170212766,0.0
dtd,middle,940,0.4276595744680851,0.4276595744680851,0.4372340425531915,0.009574468085106369
eurosat,early,2025,0.6029629629629629,0.557037037037037,0.5812345679012346,0.024197530864197625
eurosat,late,2025,0.7318518518518519,0.6350617283950617,0.762962962962963,0.12790123456790126
eurosat,middle,4050,0.5234567901234568,0.5646913580246914,0.571604938271605,0.006913580246913575
pets,early,917,0.8037077426390403,0.8026172300981461,0.7786259541984732,-0.02399127589967287
pets,late,918,0.9607843137254902,0.9357298474945533,0.9651416122004357,0.02941176470588236
pets,middle,1834,0.9165757906215921,0.9034896401308615,0.9083969465648855,0.004907306434023928
