dataset,method,subset,mean,median,std,p25,p75
caltech,clip,all,0.9999204164979293,0.9999248410347492,2.6957201189625377e-05,0.9999043393478384,0.9999393371770094
caltech,clip,correct,0.9999208933909036,0.999925462297989,2.6706460032375002e-05,0.9999052971286664,0.9999395442647561
caltech,clip,wrong,0.9999135000501375,0.9999145901912938,2.950770810385785e-05,0.999896262925722,0.9999310536671464
caltech,tda,all,0.03642370626670422,0.0037114298298460747,0.07757622377242573,0.0005000950161319957,0.025971581308360768
caltech,tda,correct,0.028150157790677297,0.0029501277484198997,0.06817392731963415,0.0004430741179881395,0.015807965476824757
caltech,tda,wrong,0.15722798686286948,0.1435770604304603,0.10214836443356336,0.09701113662340737,0.1888916419679824
caltech,freetta,all,0.07439807536672259,0.021901522419766034,0.11782704958267957,0.003687836792062068,0.09355427102391047
caltech,freetta,correct,0.0636425217087676,0.017693861004001436,0.1070836839973269,0.003218885123747711,0.07733662935880652
caltech,freetta,wrong,0.2325115648097808,0.162927656573451,0.15067801115800414,0.1409630759348532,0.28738027362316365
dtd,clip,all,0.9999558902842811,0.9999581708197762,1.617576156786466e-05,0.9999462813100943,0.9999675369048773
dtd,clip,correct,0.9999512831777578,0.9999537741781754,1.6596198657366143e-05,0.9999406152156365,0.9999630009330845
dtd,clip,wrong,0.9999595007871163,0.9999616385934335,1.4872376122069112e-05,0.9999513900837859,0.9999701841785176
dtd,tda,all,0.40383137818998355,0.4202558978979346,0.25576089179102446,0.1660281010574176,0.6365881583536723
dtd,tda,correct,0.2819965217145986,0.22368533391099776,0.24064205054343307,0.056750433263911035,0.48476955399830235
dtd,tda,wrong,0.5041590146086081,0.5444590415452154,0.22204681194436182,0.3414351675180125,0.6922789932511423
dtd,freetta,all,0.39934205144624196,0.4245986806394615,0.25182812349580647,0.16435440874184673,0.626686131930151
dtd,freetta,correct,0.28087225770530877,0.22653599866857121,0.245010780249824,0.04608533795419022,0.49636509245714755
dtd,freetta,wrong,0.502487394255512,0.5543612072989282,0.20858528423091235,0.3373025101865289,0.6796732334976404
eurosat,clip,all,0.9999253913896107,0.9999380428785934,5.9466852323175704e-05,0.999880084195521,0.9999808582701976
eurosat,clip,correct,0.9999012784030185,0.9998998869612871,5.5874479423505683e-05,0.9998614721842976,0.9999495362485282
eurosat,clip,wrong,0.9999480380849423,0.9999718499532215,5.353977116445256e-05,0.9999197673849582,0.9999890382361872
eurosat,tda,all,0.42428003135285375,0.42679579577085314,0.25806846877285317,0.2066669669232289,0.6384497883279034
eurosat,tda,correct,0.3368508368323549,0.29329718471827726,0.26032737290459507,0.10050768055872247,0.5331086004883647
eurosat,tda,wrong,0.5241991108048524,0.5425057247085285,0.21573449967443187,0.36757352798376824,0.6928080826673304
eurosat,freetta,all,0.34842995139025346,0.36616305334185245,0.254376798127524,0.06682950187402174,0.570532035492016
eurosat,freetta,correct,0.22217854539296913,0.12913230828888791,0.22283363439130752,0.02564661371566851,0.3952378882151968
eurosat,freetta,wrong,0.5327270994707107,0.5578337643326678,0.17160349131111202,0.41868941064613296,0.6604925963627697
pets,clip,all,0.9996971824169418,0.9997184969456079,0.00011387483866231386,0.9996293603078961,0.9997797701306429
pets,clip,correct,0.9996982655013201,0.9997195533798328,0.00011401277600548178,0.9996324965970007,0.9997800672527684
pets,clip,wrong,0.9996889372464289,0.9997096493089759,0.00011247785272815495,0.9996019260316223,0.9997786146557093
pets,tda,all,0.12338929453583228,0.07334848407849512,0.1255437947092007,0.023554259538033324,0.1987159544507753
pets,tda,correct,0.10043436334574606,0.05846071365329446,0.10596133957737994,0.020154063053607715,0.15556443769103442
pets,tda,wrong,0.3033780803009903,0.28487653441776545,0.12157377098306761,0.21315185576982662,0.38484731777403064
pets,freetta,all,0.12007519906565225,0.07179358622092563,0.12338289674966672,0.02097961791155767,0.196551518805711
pets,freetta,correct,0.09740113160963663,0.05460801358318028,0.1042649531074805,0.018016018146517872,0.15366345858415575
pets,freetta,wrong,0.29690030066508327,0.2816685068265109,0.11784504500432107,0.2087271873543348,0.37820873462615195
imagenet,clip,all,0.999937476838753,0.9999398894110004,2.087773906357203e-05,0.9999241507422608,0.9999530049682834
imagenet,clip,correct,0.999936209581867,0.9999386468845209,2.133732587984033e-05,0.9999227011280348,0.9999520385587994
imagenet,clip,wrong,0.9999395754700102,0.9999419602884662,1.9916991310923973e-05,0.9999271189999617,0.9999543165240118
imagenet,tda,all,0.16327164619251774,0.11229590191929592,0.15910654240029343,0.03221146569802386,0.2509295815371073
imagenet,tda,correct,0.10614048980001088,0.057730670834776746,0.12397117754098602,0.01518864125791723,0.15541362437616563
imagenet,tda,wrong,0.25938929986574827,0.23061737560006407,0.16528226130365153,0.12549594668859293,0.3713547000051833
imagenet,freetta,all,0.17767123983512112,0.1428834221804746,0.14984045220958964,0.05530426253712114,0.26116923362555144
imagenet,freetta,correct,0.12311573198104941,0.08952526242745498,0.11960051195985834,0.027714210134924186,0.18299781144937366
imagenet,freetta,wrong,0.26945561356385983,0.24492549081501408,0.15075962909337692,0.1522412213004295,0.36923189528698935
