dataset,bucket,count,rate
caltech,clip_wrong_tda_wrong_freetta_correct,3,0.12170385395537525
caltech,clip_wrong_tda_correct_freetta_wrong,7,0.2839756592292089
caltech,clip_correct_tda_wrong_freetta_correct,7,0.2839756592292089
caltech,clip_correct_tda_correct_freetta_wrong,2,0.08113590263691683
caltech,all_wrong,146,5.922920892494929
dtd,clip_wrong_tda_wrong_freetta_correct,55,2.925531914893617
dtd,clip_wrong_tda_correct_freetta_wrong,20,1.0638297872340425
dtd,clip_correct_tda_wrong_freetta_correct,15,0.7978723404255319
dtd,clip_correct_tda_correct_freetta_wrong,24,1.276595744680851
dtd,all_wrong,942,50.10638297872341
eurosat,clip_wrong_tda_wrong_freetta_correct,621,7.666666666666666
eurosat,clip_wrong_tda_correct_freetta_wrong,488,6.0246913580246915
eurosat,clip_correct_tda_wrong_freetta_correct,437,5.395061728395062
eurosat,clip_correct_tda_correct_freetta_wrong,83,1.0246913580246912
eurosat,all_wrong,2431,30.01234567901235
pets,clip_wrong_tda_wrong_freetta_correct,11,0.2998092123194331
pets,clip_wrong_tda_correct_freetta_wrong,9,0.24529844644317253
pets,clip_correct_tda_wrong_freetta_correct,4,0.10902153175252113
pets,clip_correct_tda_correct_freetta_wrong,8,0.21804306350504227
pets,all_wrong,394,10.738620877623331
imagenet,clip_wrong_tda_wrong_freetta_correct,81,0.8099999999999999
imagenet,clip_wrong_tda_correct_freetta_wrong,80,0.8
imagenet,clip_correct_tda_wrong_freetta_correct,60,0.6
imagenet,clip_correct_tda_correct_freetta_wrong,61,0.61
imagenet,all_wrong,3569,35.69
