dataset,tier,method,n_samples,flip_rate,flip_precision,net_correction,net_rate
caltech,easy,tda,815,0.012269938650306749,0.4444444444444444,-1,-0.001226993865030675
caltech,easy,freetta,815,0.006134969325153374,0.6,1,0.001226993865030675
caltech,medium,tda,839,0.007151370679380214,0.5,0,0.0
caltech,medium,freetta,839,0.0011918951132300357,0.0,-1,-0.0011918951132300357
caltech,hard,tda,811,0.004932182490752158,0.75,2,0.002466091245376079
caltech,hard,freetta,811,0.004932182490752158,0.75,2,0.002466091245376079
dtd,easy,tda,625,0.072,0.75,10,0.016
dtd,easy,freetta,625,0.1008,0.59375,6,0.0096
dtd,medium,tda,637,0.12244897959183673,0.6,7,0.01098901098901099
dtd,medium,freetta,637,0.1695447409733124,0.6274509803921569,13,0.02040816326530612
dtd,hard,tda,618,0.16181229773462782,0.5833333333333334,6,0.009708737864077669
dtd,hard,freetta,618,0.21844660194174756,0.7884615384615384,30,0.04854368932038835
eurosat,easy,tda,2678,0.26960418222554144,0.5087719298245614,10,0.0037341299477221808
eurosat,easy,freetta,2678,0.0847647498132935,0.5449438202247191,16,0.00597460791635549
eurosat,medium,tda,2756,0.31422351233671986,0.4262948207171315,-74,-0.026850507982583455
eurosat,medium,freetta,2756,0.23439767779390422,0.4904109589041096,-7,-0.0025399129172714078
eurosat,hard,tda,2666,0.677794448612153,0.795134443021767,461,0.17291822955738934
eurosat,hard,freetta,2666,0.6129032258064516,0.9017447199265382,875,0.32820705176294074
pets,easy,tda,1211,0.011560693641618497,0.5454545454545454,1,0.0008257638315441783
pets,easy,freetta,1211,0.010734929810074319,0.6666666666666666,3,0.002477291494632535
pets,medium,tda,1247,0.010425020048115477,0.8571428571428571,5,0.00400962309542903
pets,medium,freetta,1247,0.015236567762630313,0.5714285714285714,2,0.0016038492381716118
pets,hard,tda,1211,0.013212221304706853,0.6923076923076923,5,0.004128819157720892
pets,hard,freetta,1211,0.018166804293971925,0.6428571428571429,4,0.0033030553261767133
imagenet,easy,tda,3313,0.03984304255961364,0.5942028985507246,13,0.00392393600965892
imagenet,easy,freetta,3313,0.024147298520977967,0.5609756097560976,5,0.001509206157561123
imagenet,medium,tda,3397,0.03856343832793641,0.6,14,0.004121283485428319
imagenet,medium,freetta,3397,0.0379746835443038,0.6056338028169014,15,0.004415660877244628
imagenet,hard,tda,3290,0.037993920972644375,0.5925925925925926,10,0.00303951367781155
imagenet,hard,freetta,3290,0.046504559270516714,0.6024096385542169,17,0.005167173252279635
