dataset,freq_bin,n_classes,mean_n_samples,freetta_acc,tda_acc,clip_acc,freetta_minus_tda
caltech,Q1-rare,24,11.125,0.8764520202020201,0.8764520202020201,0.8764520202020201,0.0
caltech,Q2,26,15.346153846153847,0.9335474574445162,0.9201774940745527,0.9225584464555052,0.013369963369963366
caltech,Q3,25,19.88,0.871164538487193,0.8753867607094152,0.8693463566690112,-0.004222222222222221
caltech,Q4-common,25,52.08,0.9654300234623764,0.9715978967655439,0.9671475196916373,-0.006167873303167419
dtd,Q3,47,40.0,0.4654255319148937,0.45159574468085095,0.4393617021276596,0.013829787234042556
eurosat,Q1-rare,1,600.0,0.655,0.5783333333333334,0.58,0.07666666666666666
eurosat,Q2,4,750.0,0.5753333333333334,0.5923333333333334,0.5386666666666666,-0.017000000000000015
eurosat,Q4-common,5,900.0,0.5973333333333335,0.488,0.43533333333333335,0.10933333333333337
pets,Q1-rare,7,95.57142857142857,0.8062563267569806,0.806123944370457,0.807879703380357,0.0001323823865234822
pets,Q3,30,100.0,0.9023333333333333,0.903,0.8989999999999999,-0.0006666666666666747
imagenet,Q3,1000,10.0,0.6272000000000001,0.6272000000000001,0.6235,-2.220446049250313e-19
