dataset,bucket,count,rate,mean_clip_entropy,mean_clip_confidence
caltech,clip_wrong_tda_wrong_freetta_correct,3,0.0012170385395537525,4.604445616404216,0.011808735008041
caltech,clip_wrong_tda_correct_freetta_wrong,7,0.002839756592292089,4.604724475315639,0.011314949819019813
caltech,clip_correct_tda_wrong_freetta_correct,7,0.002839756592292089,4.6047788347516745,0.011031535587140427
caltech,clip_correct_tda_correct_freetta_wrong,2,0.0008113590263691683,4.604871034622192,0.0108986594714224
caltech,all_wrong,146,0.05922920892494929,4.604777881543931,0.011136574523957166
caltech,all_correct,2295,0.9310344827586207,4.604806007019575,0.011303928287492812
dtd,clip_wrong_tda_wrong_freetta_correct,55,0.02925531914893617,3.8499952012842353,0.02205230566588311
dtd,clip_wrong_tda_correct_freetta_wrong,20,0.010638297872340425,3.8499779224395754,0.02207896029576655
dtd,clip_correct_tda_wrong_freetta_correct,15,0.007978723404255319,3.8500163078308107,0.02194761174420509
dtd,clip_correct_tda_correct_freetta_wrong,24,0.01276595744680851,3.849969267845154,0.022167213028296762
dtd,all_wrong,942,0.5010638297872341,3.8499915199927717,0.022165883279102957
dtd,all_correct,768,0.4085106382978723,3.8499581484744945,0.022572106475611947
eurosat,clip_wrong_tda_wrong_freetta_correct,621,0.07666666666666666,2.302528357928118,0.10134453771578897
eurosat,clip_wrong_tda_correct_freetta_wrong,488,0.06024691358024691,2.3023748529739065,0.10244555203396763
eurosat,clip_correct_tda_wrong_freetta_correct,437,0.05395061728395062,2.3023566283132175,0.10287484107219379
eurosat,clip_correct_tda_correct_freetta_wrong,83,0.010246913580246913,2.3024375007813234,0.10220752261489266
eurosat,all_wrong,2431,0.3001234567901235,2.3024542004127455,0.10212519822825325
eurosat,all_correct,3112,0.38419753086419756,2.3023489038711342,0.1038834959373912
pets,clip_wrong_tda_wrong_freetta_correct,11,0.002998092123194331,3.6099560911005195,0.02960290353406556
pets,clip_wrong_tda_correct_freetta_wrong,9,0.0024529844644317253,3.609962410397,0.029810741336809207
pets,clip_correct_tda_wrong_freetta_correct,4,0.0010902153175252113,3.6096960306167603,0.02988596539944405
pets,clip_correct_tda_correct_freetta_wrong,8,0.0021804306350504225,3.6099168956279755,0.029773815069347564
pets,all_wrong,394,0.10738620877623331,3.6097819702274303,0.02993483433906495
pets,all_correct,3225,0.8789860997547015,3.6098282840640046,0.030477156965422948
imagenet,clip_wrong_tda_wrong_freetta_correct,81,0.0081,6.907363291139956,0.0011201602288946728
imagenet,clip_wrong_tda_correct_freetta_wrong,80,0.008,6.907298094034195,0.0011401806550565587
imagenet,clip_correct_tda_wrong_freetta_correct,60,0.006,6.907282574971517,0.0011414800615359804
imagenet,clip_correct_tda_correct_freetta_wrong,61,0.0061,6.9073548238785545,0.0011284517154829885
imagenet,all_wrong,3569,0.3569,6.907337963363977,0.0011319157318244214
imagenet,all_correct,6096,0.6096,6.907314362801279,0.001157519278684648
