dataset,frac,n,clip_acc,tda_acc,ft_acc,tda_gain,ft_gain,tda_cr,ft_cr
caltech,0.05,123,95.1219512195122,94.3089430894309,94.3089430894309,-0.8130081300812941,-0.8130081300812941,0.8130081300813009,0.8130081300813009
caltech,0.1,246,97.15447154471545,96.7479674796748,96.7479674796748,-0.40650406504064707,-0.40650406504064707,0.40650406504065045,0.40650406504065045
caltech,0.2,493,98.58012170385395,98.37728194726166,98.37728194726166,-0.20283975659228792,-0.20283975659228792,0.2028397565922921,0.2028397565922921
caltech,0.3,739,97.42895805142085,96.75236806495265,97.15832205683355,-0.6765899864682012,-0.27063599458728715,0.6765899864682002,0.2706359945872801
caltech,0.5,1232,94.56168831168831,93.9935064935065,94.64285714285714,-0.5681818181818121,0.08116883116883189,0.5681818181818182,0.4058441558441558
caltech,0.75,1848,93.34415584415584,93.12770562770562,93.34415584415584,-0.21645021645021467,0.0,0.6493506493506493,0.4329004329004329
caltech,1.0,2465,93.54969574036511,93.59026369168357,93.63083164300204,0.040567951318459805,0.08113590263691961,0.8113590263691683,0.4056795131845842
dtd,0.05,94,12.76595744680851,12.76595744680851,10.638297872340425,0.0,-2.127659574468084,3.1914893617021276,19.148936170212767
dtd,0.1,188,28.191489361702125,28.191489361702125,28.723404255319153,0.0,0.5319148936170248,4.25531914893617,15.957446808510639
dtd,0.2,376,50.26595744680851,49.734042553191486,51.59574468085106,-0.5319148936170193,1.3297872340425565,5.053191489361701,14.627659574468085
dtd,0.3,564,46.63120567375886,48.04964539007092,50.53191489361703,1.4184397163120588,3.900709219858162,7.801418439716312,15.780141843971633
dtd,0.5,940,40.95744680851064,41.38297872340426,43.51063829787234,0.42553191489361764,2.5531914893617005,8.936170212765958,16.595744680851062
dtd,0.75,1410,44.25531914893617,45.0354609929078,47.09219858156028,0.7801418439716323,2.8368794326241176,10.567375886524824,16.02836879432624
dtd,1.0,1880,43.93617021276596,45.159574468085104,46.54255319148936,1.2234042553191493,2.6063829787234036,11.861702127659575,16.27659574468085
eurosat,0.05,405,66.66666666666666,36.2962962962963,53.827160493827165,-30.370370370370363,-12.8395061728395,40.98765432098765,35.55555555555556
eurosat,0.1,810,67.1604938271605,29.506172839506174,49.876543209876544,-37.65432098765432,-17.28395061728395,52.716049382716044,36.41975308641975
eurosat,0.2,1620,53.51851851851852,33.76543209876543,49.44444444444444,-19.753086419753092,-4.074074074074074,56.604938271604944,42.03703703703704
eurosat,0.3,2430,40.08230452674897,32.55144032921811,38.148148148148145,-7.530864197530862,-1.934156378600821,53.66255144032922,38.2716049382716
eurosat,0.5,4050,50.0,41.901234567901234,48.839506172839506,-8.098765432098764,-1.1604938271604914,41.18518518518518,28.419753086419753
eurosat,0.75,6075,51.04526748971193,49.794238683127574,51.55555555555556,-1.2510288065843589,0.5102880658436226,39.1440329218107,24.641975308641975
eurosat,1.0,8100,48.432098765432094,53.333333333333336,59.34567901234568,4.901234567901236,10.913580246913579,41.913580246913575,30.950617283950617
pets,0.05,183,90.7103825136612,91.2568306010929,88.52459016393442,0.5464480874316946,-2.1857923497267784,2.73224043715847,5.46448087431694
pets,0.1,366,83.33333333333334,84.97267759562843,83.60655737704919,1.6393442622950838,0.2732240437158473,2.73224043715847,4.371584699453552
pets,0.2,733,75.85266030013642,76.80763983628923,75.85266030013642,0.9549795361528002,0.0,2.1828103683492497,3.1377899045020468
pets,0.3,1100,77.18181818181819,78.0909090909091,77.36363636363637,0.9090909090909038,0.181818181818183,2.272727272727273,2.909090909090909
pets,0.5,1834,83.26063249727372,83.96946564885496,83.6423118865867,0.7088331515812341,0.3816793893129722,1.6357688113413305,2.1810250817884405
pets,0.75,2751,85.71428571428571,86.1141403126136,86.00508905852418,0.3998545983278867,0.2908033442384661,1.4903671392221012,1.9265721555797892
pets,1.0,3669,88.3892068683565,88.68901608067593,88.63450531479967,0.29980921231943514,0.24529844644317622,1.171981466339602,1.4717906786590351
imagenet,0.05,500,71.8,72.0,72.2,0.20000000000000018,0.40000000000000036,1.4000000000000001,3.0
imagenet,0.1,1000,67.80000000000001,68.30000000000001,67.9,0.5000000000000004,0.10000000000000009,2.8000000000000003,2.1999999999999997
imagenet,0.2,2000,65.45,65.7,65.7,0.2500000000000058,0.2500000000000058,2.8000000000000003,2.25
imagenet,0.3,3000,63.66666666666667,64.3,63.83333333333333,0.6333333333333302,0.1666666666666594,4.433333333333334,2.3333333333333335
imagenet,0.5,5000,64.68,65.06,64.92,0.37999999999999146,0.23999999999999577,3.82,2.56
imagenet,0.75,7500,62.973333333333336,63.13333333333333,63.22666666666667,0.15999999999999348,0.25333333333332764,3.5866666666666664,3.4000000000000004
imagenet,1.0,10000,62.35000000000001,62.72,62.72,0.36999999999999256,0.36999999999999256,3.88,3.62
