dataset,spc,n_sub,frac,clip_acc,tda_acc,ft_acc,ft_gain,tda_gain,ft_conf_proxy,mean_em,mean_drift
caltech,1.23,123,0.05,96.7479674796748,95.9349593495935,96.7479674796748,0.0,-0.8130081300813052,0.905964404950297,0.8377430559845984,1.0901828849218724
caltech,2.46,246,0.1,95.1219512195122,95.1219512195122,95.1219512195122,0.0,0.0,0.903449434090436,0.8228608797222369,1.0568739177613724
caltech,4.93,493,0.2,95.53752535496957,94.52332657200812,95.131845841785,-0.40567951318458695,-1.0141987829614618,0.8992683387552265,0.8107920116353515,1.0667054674023304
caltech,12.32,1232,0.5,93.75,94.15584415584416,93.83116883116884,0.08116883116883189,0.40584415584415945,0.9117178481991415,0.8293051020407167,1.0679253258186017
caltech,24.65,2465,1.0,93.54969574036511,93.59026369168357,93.63083164300204,0.08113590263691961,0.040567951318459805,0.9073293545183255,0.8256331471204659,1.0727196233842
dtd,2.0,94,0.05,50.0,59.57446808510638,57.446808510638306,7.446808510638303,9.57446808510638,0.5668793277062,0.47551867947305904,1.1503959000110626
dtd,4.0,188,0.1,43.61702127659575,44.148936170212764,45.744680851063826,2.1276595744680824,0.5319148936170193,0.5957853486959604,0.46694868997497513,1.1234350486638698
dtd,8.0,376,0.2,40.95744680851064,41.48936170212766,41.755319148936174,0.7978723404255317,0.5319148936170193,0.5672511962103717,0.45705730021351915,1.1400073747685615
dtd,20.0,940,0.5,42.659574468085104,43.08510638297872,44.787234042553195,2.127659574468088,0.42553191489361764,0.5734027201745738,0.4622425895755026,1.1411180757620234
dtd,40.0,1880,1.0,43.93617021276596,45.159574468085104,46.54255319148936,2.6063829787234036,1.2234042553191493,0.5787822004685059,0.46472899513686355,1.1408001297728179
eurosat,40.5,405,0.05,47.901234567901234,51.60493827160494,57.28395061728395,9.382716049382717,3.7037037037037033,0.694635452164544,0.2064500736412633,1.1308789956716843
eurosat,81.0,810,0.1,48.02469135802469,54.44444444444444,59.62962962962963,11.604938271604942,6.41975308641975,0.7084082832306992,0.2091982845557351,1.1297149905084092
eurosat,162.0,1620,0.2,49.074074074074076,55.37037037037037,61.23456790123457,12.160493827160495,6.296296296296294,0.7021324700319472,0.20512836964506237,1.1289098862144682
eurosat,405.0,4050,0.5,48.76543209876543,53.48148148148149,59.20987654320987,10.44444444444444,4.7160493827160535,0.6886195610261258,0.19491909535481902,1.1305055901371404
eurosat,810.0,8100,1.0,48.432098765432094,53.333333333333336,59.34567901234568,10.913580246913579,4.901234567901236,0.6929883118378527,0.19776718002373267,1.1296357015731895
pets,4.945945945945946,183,0.05,90.1639344262295,90.1639344262295,90.1639344262295,0.0,0.0,0.8574011105982984,0.6470867855343668,0.9617553442879453
pets,9.891891891891891,366,0.1,88.25136612021858,88.52459016393442,88.25136612021858,0.0,0.2732240437158473,0.8523896625621723,0.6550629115507052,1.0002153587471592
pets,19.81081081081081,733,0.2,88.26739427012278,88.54024556616645,88.67667121418826,0.4092769440654842,0.27285129604366354,0.8470839798491128,0.6409228787660137,0.9931710747364111
pets,49.567567567567565,1834,0.5,87.73173391494002,88.00436205016358,87.89531079607416,0.16357688113413094,0.27262813522355156,0.8459143709947915,0.6449403279264181,0.9882070200605116
pets,99.16216216216216,3669,1.0,88.3892068683565,88.68901608067593,88.63450531479967,0.24529844644317622,0.29980921231943514,0.8513501380852244,0.6503743907087046,0.9910611644423798
imagenet,1.0,1000,0.05,63.9,64.1,64.8,0.9000000000000008,0.20000000000000018,0.6814723807573319,0.5379669984135123,1.0180986111462116
imagenet,1.0,1000,0.1,61.4,61.5,61.5,0.10000000000000009,0.10000000000000009,0.6741710384637117,0.5367920842145165,1.0321145148314537
imagenet,2.0,2000,0.2,62.25000000000001,62.74999999999999,62.45,0.20000000000000018,0.49999999999998934,0.6708438265696168,0.5323367191185043,1.031113153917715
imagenet,5.0,5000,0.5,62.44,62.82,62.78,0.34000000000000696,0.38000000000000256,0.6729200086027384,0.5334180684831068,1.0256010057367384
imagenet,10.0,10000,1.0,62.35000000000001,62.72,62.72,0.36999999999999256,0.36999999999999256,0.6740889199081809,0.5325583774225546,1.0270849015641959
