dataset,method,mean_entropy_correct,mean_entropy_wrong,entropy_gap,spearman_rho,spearman_pval
caltech,clip,4.604805886590367,4.604771838997895,-3.4047592472497e-05,-0.07618874667173627,0.00015292999226746692
caltech,tda,0.12963626738848752,0.7240616375038141,0.5944253701153266,0.3598135439733858,3.127352788761022e-76
caltech,freetta,0.29308464353431646,1.0707553261594407,0.7776706826251243,0.33235337042069124,1.2055658310551702e-64
dtd,clip,3.8499600413925132,3.849991673762703,3.163237018988241e-05,0.2609827533564895,1.1963301730002336e-30
dtd,tda,0.5062326359518508,1.150269537356772,0.6440369014049212,0.41605878652201383,1.351198756057221e-79
dtd,freetta,1.406514420817274,2.305264609732279,0.8987501889150051,0.4451816394774252,3.470234093567646e-92
eurosat,clip,2.3023577781164795,2.3024654462630307,0.00010766814655127632,0.4331505547361282,0.0
eurosat,tda,0.77562771545275,1.2070130582999872,0.4313853428472372,0.3648908075014027,1.3484214517304628e-253
eurosat,freetta,0.5115850066049518,1.2266494778752148,0.7150644712702631,0.5925179993686177,0.0
pets,clip,3.609828363036874,3.609794682740046,-3.368029682837559e-05,-0.02795520336277484,0.0904432809979631
pets,tda,0.288527987802332,0.9389354518779061,0.650407464075574,0.41911587477029577,4.783250597062851e-156
pets,freetta,0.3019691362866007,1.001777185683633,0.6998080493970323,0.4351181640560187,2.2307315002087428e-169
imagenet,clip,6.907314630384529,6.90733788111612,2.325073159070712e-05,0.0736701830362169,1.6296737114045014e-13
imagenet,tda,0.7331925287297747,1.7917978054591026,1.058605276729328,0.499281286703235,0.0
imagenet,freetta,0.850453347517844,1.8613334370471233,1.0108800895292793,0.4925999449510005,0.0
