dataset,method,final_accuracy,mean_time_ms,std_time_ms,peak_state_mb,samples_to_90pct_final_acc,stability_std_last_quarter,prediction_churn_rate,error_recovery_latency,ece,disagreement_rate,freetta_win_rate_on_disagreement,tda_win_rate_on_disagreement
dtd,tda,0.399468085106383,0.990531755319149,1.0254617693046533,0.964691162109375,2,0.00224527686423654,0.5217391304347826,2.3957446808510636,0.02934522737570582,,,
dtd,freetta,0.3159574468085106,1.0575385638297874,0.8259467345706606,0.18572616577148438,2,0.0054359660971125745,0.5434782608695652,3.2646310432569976,0.31296369565769716,,,
dtd,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4340425531914894,0.07107843137254902,0.26348039215686275
caltech,tda,0.8054627175290999,0.9399292266912528,0.2183097770989872,2.0078125,1,0.0016957098286623632,0.3449612403100775,1.2797573919636087,0.1514739458518629,,,
caltech,freetta,0.6714302178172179,1.005504425492682,0.27180736329989846,0.3968696594238281,1,0.0016104433838081919,0.23255813953488372,1.5172964342735498,0.2192931168216693,,,
caltech,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27152241558142215,0.0365025466893039,0.5301358234295416
eurosat,tda,0.40474074074074073,0.8958396407407409,0.32795903496233564,2.0078125,1,0.00041263667379326486,0.5009208103130756,2.4726881058624404,0.09558382619531064,,,
eurosat,freetta,0.16877777777777778,1.101775325925926,0.43065918565493044,0.04105377197265625,1,0.0003866313617771403,0.08766114180478822,5.934126984126984,0.8017882122612662,,,
eurosat,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6905925925925926,0.0052021881368658155,0.346884050198434
pets,tda,0.7879531207413464,1.0869066230580542,0.44103148798052205,2.0078125,7,0.0009691769540447112,0.16326530612244897,1.2988313856427378,0.1603611090115677,,,
pets,freetta,0.41373671300081766,1.1093342055055875,0.4591886236620299,0.14662551879882812,2,0.0032870901903265613,0.20408163265306123,2.436013590033975,0.491967983375326,,,
pets,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5004088307440719,0.013071895424836602,0.7608932461873639
