dataset,difficulty,n,clip_acc,tda_acc,freetta_acc,conf_ftta_acc,ent_tda_acc,hybrid_acc
caltech,easy,822,1.0,1.0,1.0,1.0,1.0,1.0
caltech,medium,821,0.9890377588306942,0.9878197320341048,0.9890377588306942,0.9890377588306942,0.9878197320341048,0.9878197320341048
caltech,hard,822,0.8175182481751825,0.8150851581508516,0.8236009732360098,0.8236009732360098,0.8199513381995134,0.8284671532846716
dtd,easy,627,0.7368421052631579,0.7464114832535885,0.7384370015948963,0.7304625199362041,0.7432216905901117,0.7400318979266348
dtd,medium,626,0.365814696485623,0.3913738019169329,0.402555910543131,0.3769968051118211,0.39456869009584666,0.38338658146964855
dtd,hard,627,0.215311004784689,0.24401913875598086,0.23763955342902712,0.20574162679425836,0.2535885167464115,0.22009569377990432
eurosat,easy,2700,0.817037037037037,0.847037037037037,0.8340740740740741,0.8385185185185186,0.8448148148148148,0.8366666666666667
eurosat,medium,2700,0.4666666666666667,0.5674074074074074,0.524074074074074,0.5188888888888888,0.5685185185185185,0.547037037037037
eurosat,hard,2700,0.16925925925925925,0.45,0.43407407407407406,0.40185185185185185,0.45444444444444443,0.46296296296296297
imagenet,easy,3333,0.903090309030903,0.903090309030903,0.903090309030903,0.903090309030903,0.903090309030903,0.903090309030903
imagenet,medium,3333,0.615961596159616,0.6213621362136214,0.6153615361536153,0.6138613861386139,0.6207620762076208,0.6150615061506151
imagenet,hard,3334,0.3515296940611878,0.3623275344931014,0.3620275944811038,0.3593281343731254,0.365626874625075,0.35692861427714456
pets,easy,1223,0.9983646770237122,0.9983646770237122,0.9983646770237122,0.9983646770237122,0.9983646770237122,0.9983646770237122
pets,medium,1223,0.9681112019623875,0.9681112019623875,0.9672935404742437,0.9672935404742437,0.9681112019623875,0.9681112019623875
pets,hard,1223,0.6852003270645952,0.7228127555192151,0.7023712183156173,0.6966475878986099,0.713818479149632,0.705641864268193
