dataset,method,n_beneficial,n_harmful,correction_efficiency
caltech,tda,19,22,0.41304347826086957
caltech,freetta,5,0,1.0
caltech,conf_ftta,5,0,1.0
caltech,ent_tda,21,20,0.4666666666666667
caltech,hybrid,26,18,0.52
dtd,tda,71,31,0.29831932773109243
dtd,freetta,86,48,0.273015873015873
dtd,conf_ftta,83,86,0.20544554455445543
dtd,ent_tda,75,29,0.3112033195020747
dtd,hybrid,63,47,0.23595505617977527
eurosat,tda,1481,370,0.4745273950656841
eurosat,freetta,1215,299,0.4493343195266272
eurosat,conf_ftta,1195,368,0.39740605254406386
eurosat,ent_tda,1489,369,0.47480867346938777
eurosat,hybrid,1333,270,0.48455107233733186
imagenet,tda,120,66,0.31496062992125984
imagenet,freetta,117,84,0.30708661417322836
imagenet,conf_ftta,132,113,0.2838709677419355
imagenet,ent_tda,108,45,0.3985239852398524
imagenet,hybrid,99,84,0.31629392971246006
pets,tda,87,41,0.6
pets,freetta,35,15,0.5932203389830508
pets,conf_ftta,32,19,0.5161290322580645
pets,ent_tda,78,43,0.5909090909090909
pets,hybrid,47,22,0.6351351351351351
