dataset,method,lmm_mean_all,lmm_std_all,lmm_mean_beneficial,lmm_mean_harmful,lmm_mean_unchanged
dtd,tda,0.16387417912483215,0.11462709307670593,0.16971008479595184,0.140631303191185,0.1657496988773346
dtd,freetta,0.1864749938249588,0.11225598305463791,0.22978200018405914,0.2617186903953552,0.18068654835224152
dtd,conf_ftta,0.20809826254844666,0.13453488051891327,0.26089492440223694,0.33011943101882935,0.19262872636318207
dtd,ent_tda,0.1663805991411209,0.11462891846895218,0.17016005516052246,0.14851288497447968,0.16832788288593292
dtd,hybrid,0.1573852151632309,0.0888943076133728,0.1869906187057495,0.1901317536830902,0.1548907607793808
caltech,tda,0.07715621590614319,0.12369783967733383,0.36072781682014465,0.34425291419029236,0.07212017476558685
caltech,freetta,0.014113507233560085,0.02660057134926319,0.06223731487989426,,0.014015695080161095
caltech,conf_ftta,0.014117914251983166,0.02648373320698738,0.06247321888804436,,0.014019629918038845
caltech,ent_tda,0.07687630504369736,0.12377194315195084,0.3508480489253998,0.3581177294254303,0.07192806899547577
caltech,hybrid,0.05673186853528023,0.09973293542861938,0.3266105353832245,0.5119106769561768,0.05021494999527931
eurosat,tda,0.36316314339637756,0.21047553420066833,0.5345170497894287,0.39201056957244873,0.286894291639328
eurosat,freetta,0.3936336636543274,0.2849712371826172,0.7473020553588867,0.4813407063484192,0.2591780722141266
eurosat,conf_ftta,0.38043031096458435,0.24986936151981354,0.6366366147994995,0.4064323604106903,0.2790912985801697
eurosat,ent_tda,0.36304450035095215,0.21176016330718994,0.5360926985740662,0.3876458704471588,0.28596267104148865
eurosat,hybrid,0.36924394965171814,0.25065696239471436,0.6640451550483704,0.38591358065605164,0.2604004144668579
pets,tda,0.05880983918905258,0.07841958105564117,0.19915995001792908,0.18672974407672882,0.053477752953767776
pets,freetta,0.026005061343312263,0.040829747915267944,0.07828329503536224,0.2493434101343155,0.024385999888181686
pets,conf_ftta,0.02671782486140728,0.04247468709945679,0.07630106806755066,0.22271962463855743,0.024877531453967094
pets,ent_tda,0.05590200796723366,0.07574818283319473,0.19513019919395447,0.16814598441123962,0.05119376629590988
pets,hybrid,0.034012600779533386,0.04187164455652237,0.10973915457725525,0.13451702892780304,0.03232152760028839
imagenet,tda,0.10804714262485504,0.09124781936407089,0.142934188246727,0.13968634605407715,0.1073327586054802
imagenet,freetta,0.04489241912961006,0.041124869138002396,0.09208595752716064,0.08178848773241043,0.04330586642026901
imagenet,conf_ftta,0.04918801411986351,0.044854942709207535,0.10235542804002762,0.1010582447052002,0.04692791774868965
imagenet,ent_tda,0.09961817413568497,0.09253562241792679,0.09714474529027939,0.08104684203863144,0.10015451163053513
imagenet,hybrid,0.0340043343603611,0.029277777299284935,0.07435614615678787,0.07123519480228424,0.03302879258990288
