dataset,method,n_wrong,n_overconfident_wrong,oer
caltech,clip,159,11,0.06918238993710692
caltech,tda,162,58,0.35802469135802467
caltech,freetta,154,12,0.07792207792207792
caltech,conf_ftta,154,12,0.07792207792207792
caltech,ent_tda,158,60,0.379746835443038
caltech,hybrid,151,29,0.19205298013245034
dtd,clip,1054,3,0.0028462998102466793
dtd,tda,1014,49,0.048323471400394474
dtd,freetta,1016,69,0.06791338582677166
dtd,conf_ftta,1057,81,0.07663197729422895
dtd,ent_tda,1008,53,0.05257936507936508
dtd,hybrid,1038,49,0.04720616570327553
eurosat,clip,4177,22,0.005266937993775437
eurosat,tda,3066,196,0.0639269406392694
eurosat,freetta,3261,441,0.13523459061637536
eurosat,conf_ftta,3350,354,0.10567164179104478
eurosat,ent_tda,3057,207,0.06771344455348381
eurosat,hybrid,3114,207,0.06647398843930635
imagenet,clip,3765,161,0.042762284196547144
imagenet,tda,3711,417,0.11236863379143087
imagenet,freetta,3732,230,0.06162915326902465
imagenet,conf_ftta,3746,235,0.06273358248798719
imagenet,ent_tda,3702,417,0.1126418152350081
imagenet,hybrid,3750,210,0.056
pets,clip,426,15,0.035211267605633804
pets,tda,380,29,0.07631578947368421
pets,freetta,406,19,0.046798029556650245
pets,conf_ftta,413,18,0.043583535108958835
pets,ent_tda,391,32,0.08184143222506395
pets,hybrid,401,21,0.05236907730673317
